日期,万,万杨,__b4,柳,吾醉,萍姐,火炉山,至尊,吾黄,保黄,万李二,当日合计
1日,235,42,185,165,515,70,624,191,52,158,0,2237
2日,141,94,449,170,772,46,439,20,0,13,517,2661
3日,355,142,116,30,0,63,352,0,0,35,50,1143
4日,65,0,131,129,430,0,467,34,0,0,134,1390
5日,57,191,161,129,203,59,234,0,0,0,50,1084
6日,142,0,202,49,0,57,354,65,100,63,0,1032
7日,173,247,183,126,180,0,420,64,0,0,144,1537
8日,120,223,140,214,720,86,681,0,52,0,0,2236
9日,133,163,335,621,174,0,681,76,0,70,0,2253
10日,284,0,74,109,166,0,452,41,0,0,0,1126
11日,69,277,77,0,293,94,205,0,12,0,58,1085
12日,160,93,164,0,0,0,486,0,87,35,320,1345
13日,0,60,0,0,393,63,455,195,25,0,0,1191
14日,295,165,130,190,230,97,0,0,53,0,0,1160
15日,278,180,137,176,238,0,708,8888,0,8888,50,19543
16日,0,241,163,96,39,101,285,101,0,28,0,1054
17日,268,0,77,211,0,0,543,0,52,0,59,1210
18日,130,228,71,0,460,92,293,140,100,35,0,1549
19日,131,152,136,52,616,182,485,0,0,70,251,2075
20日,0,0,0,0,0,0,0,0,0,0,0,0
21日,153,320,133,295,820,154,567,158,0,0,0,2600
22日,136,156,105,244,718,369,593,168,0,0,0,2489
23日,166,351,0,255,418,166,544,0,64,42,50,2056
24日,101,319,213,250,50,192,452,0,0,0,0,1577
25日,164,0,203,46,510,216,527,0,64,35,0,1765
26日,0,193,0,169,406,266,576,67,70,0,0,1747
27日,168,104,65,0,709,63,502,59,0,0,52,1722
28日,0,0,0,0,0,0,0,0,0,0,0,0
29日,0,0,0,0,0,0,0,0,0,0,0,0
30日,0,0,0,0,0,0,0,0,0,0,0,0
31日,0,0,0,0,0,0,0,0,0,0,0,0
本月合计,3924,3941,3650,3726,9060,2436,11925,10267,731,9472,1735,60867
